datetime,line_id,stop_id,bus_id,boarding,alighting,current_load,new_load,occupancy_rate,trip_id,stop_sequence,total_stops,fitness_score,source
2025-06-02 08:06:49.112919,101,11178,opt_bus_101_0623,0,0,0,0,0.0,2,17,78,0.8121139032132771,optimized_schedule
2025-06-02 08:07:19.422625,101-1,10028,opt_bus_101-1_0800,0,0,0,0,0.0,41,2,89,0.8126430487707956,optimized_schedule
2025-06-02 08:07:29.567851,101,11167,opt_bus_101_0702,0,0,0,0,0.0,3,9,78,0.8121139032132771,optimized_schedule
2025-06-02 08:07:50.357192,101,10297,opt_bus_101_0739,0,0,0,0,0.0,4,4,78,0.8121139032132771,optimized_schedule
2025-06-02 08:09:04.666025,101,10113,opt_bus_101_0800,0,0,0,0,0.0,5,2,78,0.8121139032132771,optimized_schedule
2025-06-02 08:10:05.591917,101-1,11183,opt_bus_101-1_0559,0,0,0,0,0.0,38,23,89,0.8126430487707956,optimized_schedule
2025-06-02 08:10:15.800379,101-1,10113,opt_bus_101-1_0753,0,0,0,0,0.0,40,3,89,0.8126430487707956,optimized_schedule
2025-06-02 08:11:32.826609,101,11269,opt_bus_101_0528,0,0,0,0,0.0,1,29,78,0.8121139032132771,optimized_schedule
2025-06-02 08:12:18.001445,101-1,11260,opt_bus_101-1_0540,0,0,0,0,0.0,37,28,89,0.8126430487707956,optimized_schedule
2025-06-02 08:15:23.640650,101,10401,opt_bus_101_0739,0,0,0,0,0.0,4,5,78,0.8121139032132771,optimized_schedule
2025-06-02 08:16:06.765507,101,11168,opt_bus_101_0702,0,0,0,0,0.0,3,10,78,0.8121139032132771,optimized_schedule
2025-06-02 08:16:09.998858,101-1,10550,opt_bus_101-1_0723,0,0,0,0,0.0,39,7,89,0.8126430487707956,optimized_schedule
2025-06-02 08:17:15.800379,101-1,10113,opt_bus_101-1_0800,0,0,0,0,0.0,41,3,89,0.8126430487707956,optimized_schedule
2025-06-02 08:17:17.102109,101,11179,opt_bus_101_0623,0,0,0,0,0.0,2,18,78,0.8121139032132771,optimized_schedule
2025-06-02 08:17:34.917967,101-1,10268,opt_bus_101-1_0753,0,0,0,0,0.0,40,4,89,0.8126430487707956,optimized_schedule
2025-06-02 08:17:59.763702,101-1,11185,opt_bus_101-1_0559,0,0,0,0,0.0,38,24,89,0.8126430487707956,optimized_schedule
2025-06-02 08:18:06.361855,101-1,11261,opt_bus_101-1_0540,0,0,0,0,0.0,37,29,89,0.8126430487707956,optimized_schedule
2025-06-02 08:18:55.821718,101,10268,opt_bus_101_0800,0,0,0,0,0.0,5,3,78,0.8121139032132771,optimized_schedule
2025-06-02 08:18:57.734617,101,11314,opt_bus_101_0528,0,0,0,0,0.0,1,30,78,0.8121139032132771,optimized_schedule
2025-06-02 08:22:02.335490,101,11169,opt_bus_101_0702,0,0,0,0,0.0,3,11,78,0.8121139032132771,optimized_schedule
2025-06-02 08:24:01.596806,101-1,10883,opt_bus_101-1_0723,0,0,0,0,0.0,39,8,89,0.8126430487707956,optimized_schedule
2025-06-02 08:24:28.808611,101-1,11269,opt_bus_101-1_0540,0,0,0,0,0.0,37,30,89,0.8126430487707956,optimized_schedule
2025-06-02 08:24:34.917967,101-1,10268,opt_bus_101-1_0800,0,0,0,0,0.0,41,4,89,0.8126430487707956,optimized_schedule
2025-06-02 08:25:08.067678,101,10550,opt_bus_101_0739,0,0,0,0,0.0,4,6,78,0.8121139032132771,optimized_schedule
2025-06-02 08:25:57.893041,101,11180,opt_bus_101_0623,0,0,0,0,0.0,2,19,78,0.8121139032132771,optimized_schedule
2025-06-02 08:26:31.053700,101-1,10297,opt_bus_101-1_0753,0,0,0,0,0.0,40,5,89,0.8126430487707956,optimized_schedule
2025-06-02 08:27:04.557907,101,11323,opt_bus_101_0528,0,0,0,0,0.0,1,31,78,0.8121139032132771,optimized_schedule
2025-06-02 08:27:31.025649,101-1,11186,opt_bus_101-1_0559,0,0,0,0,0.0,38,25,89,0.8126430487707956,optimized_schedule
2025-06-02 08:28:50.357192,101,10297,opt_bus_101_0800,0,0,0,0,0.0,5,4,78,0.8121139032132771,optimized_schedule
2025-06-02 08:29:41.321825,101,11170,opt_bus_101_0702,0,0,0,0,0.0,3,12,78,0.8121139032132771,optimized_schedule
2025-06-02 08:30:00.000000,101,10017,opt_bus_101_0830,0,0,0,0,0.0,6,1,78,0.8121139032132771,optimized_schedule
2025-06-02 08:30:00.000000,101-1,10017,opt_bus_101-1_0830,0,0,0,0,0.0,42,1,89,0.8126430487707956,optimized_schedule
2025-06-02 08:30:46.939869,101,10883,opt_bus_101_0739,0,0,0,0,0.0,4,7,78,0.8121139032132771,optimized_schedule
2025-06-02 08:32:28.308228,101-1,11314,opt_bus_101-1_0540,0,0,0,0,0.0,37,31,89,0.8126430487707956,optimized_schedule
2025-06-02 08:32:48.122997,101-1,11166,opt_bus_101-1_0723,0,0,0,0,0.0,39,9,89,0.8126430487707956,optimized_schedule
2025-06-02 08:32:48.441760,101-1,11187,opt_bus_101-1_0559,0,0,0,0,0.0,38,26,89,0.8126430487707956,optimized_schedule
2025-06-02 08:33:31.053700,101-1,10297,opt_bus_101-1_0800,0,0,0,0,0.0,41,5,89,0.8126430487707956,optimized_schedule
2025-06-02 08:35:17.895329,101,11171,opt_bus_101_0702,0,0,0,0,0.0,3,13,78,0.8121139032132771,optimized_schedule
2025-06-02 08:35:28.033534,101,11181,opt_bus_101_0623,0,0,0,0,0.0,2,20,78,0.8121139032132771,optimized_schedule
2025-06-02 08:36:23.640650,101,10401,opt_bus_101_0800,0,0,0,0,0.0,5,5,78,0.8121139032132771,optimized_schedule
2025-06-02 08:36:25.929360,101,11166,opt_bus_101_0739,0,0,0,0,0.0,4,8,78,0.8121139032132771,optimized_schedule
